Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
19400,1861.9,24.0,207.7,97.7,1518.0,4012.0,30.0,
19500,1860.2,23.7,206.2,99.6,1518.0,4012.0,30.0,
19600,1859.2,23.5,200.7,119.1,1518.0,4012.0,30.0,
19700,1859.5,22.4,190.0,119.1,1518.0,4012.0,30.0,
19900,1860.7,25.1,151.4,119.1,1518.0,4012.0,30.0,
20000,1856.5,28.2,109.4,119.1,1518.0,4012.0,30.0,
20100,1864.6,50.1,31.0,119.1,1518.0,4012.0,30.0,
20200,1844.3,104.6,59.2,119.1,1518.0,4012.0,30.0,
20300,1846.6,196.4,89.8,99.6,1518.0,4012.0,30.0,
20400,1845.5,179.2,117.4,97.7,1518.0,4012.0,30.0,
20500,1848.3,174.2,145.2,97.7,1518.0,4012.0,30.0,
20600,1836.0,159.9,179.4,97.7,1518.0,4012.0,30.0,
20700,1847.5,127.1,203.2,97.7,1518.0,4012.0,30.0,
20900,1860.8,21.6,203.2,97.7,1518.0,4012.0,30.0,
21000,1858.9,24.5,203.1,97.7,1518.0,4012.0,30.0,
21100,1861.7,23.7,202.8,97.7,1518.0,4012.0,30.0,
21200,1858.6,26.2,196.5,119.1,1518.0,4012.0,30.0,
21300,1859.0,22.5,184.6,119.1,1518.0,4012.0,30.0,
21400,1857.0,21.9,168.4,119.1,1518.0,4012.0,30.0,
21500,1857.5,23.0,145.0,119.1,1518.0,4012.0,30.0,
21600,1858.4,22.9,99.4,119.1,1518.0,4012.0,30.0,
21700,1860.6,46.0,28.4,119.1,1518.0,4012.0,30.0,
21900,1870.1,159.2,102.4,119.1,1518.0,4012.0,30.0,
22000,1848.7,239.9,148.4,95.7,1518.0,4012.0,30.0,
22100,1871.5,257.5,182.8,95.7,1102.0,3869.0,30.0,
22200,1865.3,212.1,210.0,95.7,1130.0,3387.0,30.0,
22300,1891.1,192.8,237.9,95.7,1177.0,3846.0,30.0,
22400,1835.4,31.1,241.6,95.7,1177.0,3846.0,30.0,
22500,1860.3,21.4,241.5,95.7,1177.0,3846.0,30.0,
22600,1860.4,20.7,241.6,95.7,1177.0,3846.0,30.0,
22700,1859.1,20.3,241.5,93.8,1177.0,3846.0,30.0,
22900,1861.8,24.3,220.6,119.1,1177.0,3846.0,30.0,
23000,1860.3,22.8,192.7,119.1,1177.0,3846.0,30.0,
23100,1859.7,19.2,160.4,119.1,1177.0,3846.0,30.0,
23200,1863.1,22.9,122.7,119.1,1177.0,3846.0,30.0,
23300,1860.5,29.8,50.3,119.1,1177.0,3846.0,30.0,
23400,1868.5,125.1,43.4,121.1,1177.0,3846.0,30.0,
23500,1864.7,183.3,75.9,119.1,1177.0,3846.0,30.0,
23600,1870.3,201.7,129.2,97.7,1177.0,3846.0,30.0,
23700,1852.6,179.0,183.0,95.7,900.0,3396.0,30.0,
23900,1865.7,251.2,240.0,97.7,813.0,3786.0,30.0,
24000,1859.7,31.1,247.7,95.7,813.0,3786.0,30.0,
24100,1861.0,28.4,247.9,95.7,813.0,3786.0,30.0,
24200,1861.2,24.6,247.9,95.7,813.0,3786.0,30.0,
24300,1861.9,28.6,248.1,95.7,813.0,3786.0,30.0,
24400,1858.4,23.1,245.8,119.1,813.0,3786.0,30.0,
24500,1863.3,25.7,238.0,119.1,813.0,3786.0,30.0,
24600,1861.3,24.1,213.8,119.1,813.0,3786.0,30.0,
24700,1859.1,24.8,170.1,119.1,813.0,3786.0,30.0,
24900,1859.1,22.2,69.5,119.1,813.0,3786.0,30.0,
25000,1856.8,103.4,53.3,119.1,813.0,3786.0,30.0,
25100,1831.8,123.8,80.7,121.1,813.0,3786.0,30.0,
25200,1849.4,155.9,100.8,99.6,813.0,3786.0,30.0,
25300,1852.4,130.2,115.0,97.7,813.0,3786.0,30.0,
25400,1853.3,120.7,129.4,97.7,813.0,3786.0,30.0,
25500,1848.7,107.5,142.6,97.7,813.0,3786.0,30.0,
25600,1867.7,30.8,145.6,95.7,813.0,3786.0,30.0,
25700,1859.8,22.0,145.6,95.7,813.0,3786.0,30.0,
25900,1859.8,19.7,145.6,95.7,813.0,3786.0,30.0,
26000,1859.4,23.9,139.2,119.1,813.0,3786.0,30.0,
26100,1858.4,21.1,125.1,119.1,813.0,3786.0,30.0,
26200,1860.6,20.3,109.3,121.1,813.0,3786.0,30.0,
26300,1861.4,19.1,94.0,121.1,813.0,3786.0,30.0,
26400,1860.2,22.2,72.8,121.1,813.0,3786.0,30.0,
26500,1858.7,24.4,40.6,119.1,813.0,3786.0,30.0,
26600,1861.8,84.4,37.3,119.1,813.0,3786.0,30.0,
26700,1869.0,130.7,62.7,123.0,813.0,3786.0,30.0,
26900,1857.2,254.6,157.1,97.7,1091.0,3357.0,30.0,
27000,1868.9,251.7,190.4,97.7,1265.0,3647.0,30.0,
27100,1867.3,216.0,217.2,97.7,1125.0,3506.0,30.0,
27200,1863.2,44.4,232.7,97.7,600.0,2250.0,15.0,
27300,1860.9,22.4,232.7,97.7,600.0,2250.0,15.0,
27400,1857.4,20.4,232.7,95.7,600.0,2250.0,15.0,
27500,1863.6,20.2,232.7,95.7,600.0,2250.0,15.0,
27600,1859.4,20.2,231.4,119.1,600.0,2250.0,15.0,
27700,1857.2,24.5,225.8,119.1,600.0,2250.0,15.0,
27900,1859.0,24.0,173.8,119.1,600.0,2250.0,15.0,
28000,1861.1,22.7,136.5,119.1,600.0,2250.0,15.0,
28100,1856.4,22.8,88.0,119.1,600.0,2250.0,15.0,
28200,1858.9,103.1,46.1,119.1,600.0,2250.0,15.0,
28300,1866.2,246.4,91.1,101.6,600.0,2250.0,15.0,
28400,1863.7,210.0,138.3,97.7,600.0,2250.0,15.0,
28500,1874.9,184.1,174.0,97.7,600.0,2250.0,15.0,
28600,1843.6,167.3,205.4,97.7,770.0,3293.0,30.0,
28700,1859.9,239.8,227.2,97.7,770.0,3293.0,30.0,
28900,1857.3,24.4,241.5,95.7,770.0,3293.0,30.0,
29000,1859.9,26.7,241.5,95.7,770.0,3293.0,30.0,
29100,1861.1,24.3,241.5,91.8,770.0,3293.0,30.0,
29200,1860.6,20.2,238.7,97.7,770.0,3293.0,30.0,
29300,1860.5,20.0,225.4,119.1,770.0,3293.0,30.0,
29400,1861.1,25.8,199.9,119.1,770.0,3293.0,30.0,
29500,1859.1,20.5,169.8,119.1,770.0,3293.0,30.0,
29600,1859.3,21.8,130.1,119.1,770.0,3293.0,30.0,
29700,1859.0,20.3,86.4,119.1,770.0,3293.0,30.0,
29900,1853.2,143.3,72.4,119.1,770.0,3293.0,30.0,
30000,1829.3,244.8,122.1,97.7,770.0,3293.0,30.0,
30100,1845.2,252.9,163.7,97.7,1383.0,3934.0,30.0,
30200,1846.4,218.9,194.2,97.7,1371.0,4038.0,30.0,
30300,1863.7,184.7,223.9,97.7,1273.0,3769.0,30.0,
30400,1833.5,73.5,241.2,97.7,1239.0,4150.0,30.0,
30500,1857.8,25.3,241.2,97.7,1239.0,4150.0,30.0,
30600,1859.8,20.0,241.2,97.7,1239.0,4150.0,30.0,
30700,1860.5,24.7,241.2,95.7,1239.0,4150.0,30.0,
30900,1859.6,20.2,231.8,119.1,1239.0,4150.0,30.0,
31000,1860.9,22.0,209.9,119.1,1239.0,4150.0,30.0,
31100,1859.2,19.9,179.2,119.1,1239.0,4150.0,30.0,
31200,1861.7,24.9,145.6,121.1,1239.0,4150.0,30.0,
31300,1857.3,20.0,93.6,121.1,1239.0,4150.0,30.0,
31400,1860.3,93.3,33.2,119.1,1239.0,4150.0,30.0,
31500,1864.0,153.9,60.2,119.1,1239.0,4150.0,30.0,
31600,1870.5,173.9,102.9,97.7,1239.0,4150.0,30.0,
31700,1853.4,169.7,150.6,95.7,1239.0,4150.0,30.0,
31900,1871.1,235.1,211.1,95.7,1175.0,3813.0,30.0,
32000,1865.1,90.8,232.7,95.7,605.0,2519.0,13.0,
32100,1858.1,22.2,232.7,95.7,605.0,2519.0,13.0,
32200,1861.8,23.1,232.7,95.7,605.0,2519.0,13.0,
32300,1861.8,21.5,232.7,95.7,605.0,2519.0,13.0,
32400,1863.0,23.1,231.9,95.7,605.0,2519.0,13.0,
32500,1854.5,23.8,226.4,119.1,605.0,2519.0,13.0,
32600,1861.7,25.7,210.4,119.1,605.0,2519.0,13.0,
32700,1856.7,24.0,179.4,119.1,605.0,2519.0,13.0,
32900,1858.5,20.4,101.4,119.1,605.0,2519.0,13.0,
33000,1867.6,60.0,29.3,119.1,605.0,2519.0,13.0,
33100,1855.0,113.5,57.3,119.1,605.0,2519.0,13.0,
33200,1867.6,199.7,88.2,97.7,605.0,2519.0,13.0,
33300,1865.5,192.0,122.0,95.7,605.0,2519.0,13.0,
33400,1886.6,188.9,165.8,95.7,605.0,2519.0,13.0,
33500,1831.0,193.1,197.1,95.7,823.0,3630.0,30.0,
33600,1862.2,124.0,219.0,95.7,823.0,3630.0,30.0,
33700,1865.4,29.0,219.0,95.7,823.0,3630.0,30.0,
33900,1863.9,20.2,219.1,95.7,823.0,3630.0,30.0,
34000,1859.2,21.2,218.8,97.7,823.0,3630.0,30.0,
34100,1861.3,24.2,213.2,119.1,823.0,3630.0,30.0,
34200,1860.3,19.8,202.4,119.1,823.0,3630.0,30.0,
34300,1858.2,24.3,184.0,119.1,823.0,3630.0,30.0,
34400,1860.4,22.3,145.8,119.1,823.0,3630.0,30.0,
34500,1861.0,23.5,99.6,119.1,823.0,3630.0,30.0,
34600,1858.7,74.4,28.5,119.1,823.0,3630.0,30.0,
34700,1854.1,150.3,66.5,119.1,823.0,3630.0,30.0,
34900,1836.5,252.0,164.2,95.7,823.0,3630.0,30.0,
35000,1848.2,253.3,197.0,95.7,1625.0,4846.0,30.0,
35100,1845.5,207.4,222.4,95.7,1625.0,4846.0,30.0,
35200,1867.7,189.7,248.7,95.7,1625.0,4846.0,30.0,
35300,1838.6,28.0,251.7,95.7,1625.0,4846.0,30.0,
35400,1862.1,23.7,251.7,95.7,1625.0,4846.0,30.0,
35500,1861.6,27.3,251.7,93.8,1625.0,4846.0,30.0,
35600,1859.1,21.0,251.7,91.8,1625.0,4846.0,30.0,
35700,1858.7,24.2,244.4,119.1,1625.0,4846.0,30.0,
35900,1860.6,22.9,192.8,119.1,1625.0,4846.0,30.0,
36000,1861.3,21.0,159.2,119.1,1625.0,4846.0,30.0,
36100,1859.4,23.6,121.1,119.1,1625.0,4846.0,30.0,
36200,1859.3,41.4,47.7,119.1,1625.0,4846.0,30.0,
36300,1860.0,152.2,53.9,119.1,1625.0,4846.0,30.0,
36400,1863.9,180.9,91.6,97.7,1625.0,4846.0,30.0,
36500,1879.8,187.9,133.6,95.7,1625.0,4846.0,30.0,
