Time(ms),ENV_Value,Marker
76900,95.3,
77000,84.2,
77100,99.4,
77200,100.7,
77400,9.4,
77500,5.5,
77600,8.5,
77700,6.2,
77800,4.6,
77900,5.4,
78000,5.5,
78100,4.9,
78200,4.9,
78300,5.3,
78400,116.5,
78500,116.3,
78600,110.6,
78700,89.5,
78800,78.8,
78900,94.3,
79000,11.9,
79100,5.2,
79200,7.1,
79300,5.4,
79400,5.7,
79500,5.8,
79600,5.0,
79700,5.3,
79800,4.9,
79900,4.7,
80000,92.0,
80100,99.6,
80200,114.7,
80400,90.6,
80500,71.7,
80600,14.0,
80700,6.2,
80800,5.9,
80900,4.9,
81000,5.5,
81100,5.1,
81200,5.3,
81300,5.4,
81400,4.7,
81500,5.4,
81600,136.1,
81700,104.5,
81800,87.4,
81900,106.2,
82000,112.5,
82100,99.4,
82200,19.0,
82400,7.0,
82500,8.1,
82600,6.1,
82700,5.8,
82800,5.1,
82900,5.1,
83000,5.0,
83100,5.2,
83200,116.4,
83300,120.8,
83400,109.7,
83500,85.8,
83600,80.7,
83700,98.4,
83800,21.2,
83900,6.9,
84000,6.7,
84100,6.6,
84200,5.6,
84300,6.2,
84400,5.3,
84500,6.2,
84600,5.8,
84700,4.5,
84800,86.3,
84900,105.6,
85000,123.3,
85100,119.6,
85200,92.0,
85400,29.0,
85500,8.7,
85600,8.0,
85700,8.8,
85800,6.6,
85900,5.2,
86000,5.5,
86100,5.7,
86200,5.4,
86300,5.2,
86400,103.2,
86500,101.3,
86600,85.1,
86700,108.2,
86800,114.6,
86900,100.4,
87000,39.0,
87100,7.0,
87200,6.3,
87300,7.6,
87400,5.9,
87500,5.5,
87600,5.8,
87700,5.4,
87800,5.0,
87900,6.4,
88000,101.0,
88100,124.3,
88200,108.2,
88300,88.9,
88400,95.4,
88500,107.0,
88600,48.4,
88700,7.7,
88800,6.1,
88900,6.5,
89000,5.6,
89100,5.3,
89200,4.9,
89400,6.5,
89500,5.4,
89600,69.3,
89700,101.8,
89800,117.6,
89900,116.2,
90000,89.3,
90100,75.8,
90200,56.3,
90300,7.6,
90400,5.8,
90500,6.0,
90600,7.6,
90700,6.6,
90800,5.3,
90900,5.4,
91000,5.2,
91100,8.1,
91200,84.8,
91300,110.6,
91400,83.1,
91500,107.8,
91600,115.1,
91700,96.1,
91800,79.8,
91900,8.9,
92000,6.5,
92100,8.3,
92200,6.9,
92400,5.0,
92500,5.4,
92600,5.1,
92700,6.2,
92800,53.6,
92900,119.0,
93000,106.5,
93100,88.3,
93200,104.6,
93300,122.5,
93400,106.4,
93500,11.6,
