Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
21500,11.0,5.7,97.7,0.0,0.0,0.0,
21500,11.0,5.7,97.7,0.0,0.0,0.0,
21600,20.8,7.8,74.2,0.0,0.0,0.0,
21600,20.8,7.8,74.2,0.0,0.0,0.0,
21700,17.4,10.4,70.3,0.0,0.0,0.0,
21700,17.4,10.4,70.3,0.0,0.0,0.0,
21900,15.4,12.4,62.5,0.0,0.0,0.0,
21900,15.4,12.4,62.5,0.0,0.0,0.0,
22000,14.6,13.4,70.3,0.0,0.0,0.0,
22000,14.6,13.4,70.3,0.0,0.0,0.0,
22100,8.7,14.6,58.6,0.0,0.0,0.0,
22100,8.7,14.6,58.6,0.0,0.0,0.0,
22200,11.2,15.6,58.6,0.0,0.0,0.0,
22200,11.2,15.6,58.6,0.0,0.0,0.0,
22300,6.1,16.1,85.9,0.0,0.0,0.0,
22300,6.1,16.1,85.9,0.0,0.0,0.0,
22400,3.9,16.2,62.5,0.0,0.0,0.0,
22400,3.9,16.2,62.5,0.0,0.0,0.0,
22500,2.6,15.9,70.3,0.0,0.0,0.0,
22500,2.6,15.9,70.3,0.0,0.0,0.0,
22600,2.4,14.9,78.1,0.0,0.0,0.0,
22600,2.4,14.9,78.1,0.0,0.0,0.0,
22700,2.4,13.3,97.7,0.0,0.0,0.0,
22700,2.4,13.3,97.7,0.0,0.0,0.0,
22900,2.3,11.0,97.7,0.0,0.0,0.0,
22900,2.3,11.0,97.7,0.0,0.0,0.0,
23000,2.2,9.7,121.1,0.0,0.0,0.0,
23000,2.2,9.7,121.1,0.0,0.0,0.0,
23100,2.6,7.8,97.7,0.0,0.0,0.0,
23100,2.6,7.8,97.7,0.0,0.0,0.0,
23200,9.7,5.7,66.4,0.0,0.0,0.0,
23200,9.7,5.7,66.4,0.0,0.0,0.0,
23300,14.9,7.5,74.2,0.0,0.0,0.0,
23300,14.9,7.5,74.2,0.0,0.0,0.0,
23400,10.4,8.7,74.2,0.0,0.0,0.0,
23400,10.4,8.7,74.2,0.0,0.0,0.0,
23500,27.2,11.7,70.3,0.0,0.0,0.0,
23500,27.2,11.7,70.3,0.0,0.0,0.0,
23600,20.4,14.5,58.6,0.0,0.0,0.0,
23600,20.4,14.5,58.6,0.0,0.0,0.0,
23700,16.6,16.3,58.6,0.0,0.0,0.0,
23700,16.6,16.3,58.6,0.0,0.0,0.0,
23900,4.6,16.8,66.4,0.0,0.0,0.0,
23900,4.6,16.8,66.4,0.0,0.0,0.0,
24000,3.3,16.8,66.4,0.0,0.0,0.0,
24000,3.3,16.8,66.4,0.0,0.0,0.0,
24100,4.6,17.0,82.0,0.0,0.0,0.0,
24100,4.6,17.0,82.0,0.0,0.0,0.0,
24200,2.9,16.9,66.4,0.0,0.0,0.0,
24200,2.9,16.9,66.4,0.0,0.0,0.0,
24300,3.2,15.7,70.3,0.0,0.0,0.0,
24300,3.2,15.7,70.3,0.0,0.0,0.0,
24400,2.1,15.0,66.4,0.0,0.0,0.0,
24400,2.1,15.0,66.4,0.0,0.0,0.0,
24500,2.8,12.8,101.6,0.0,0.0,0.0,
24500,2.8,12.8,101.6,0.0,0.0,0.0,
24600,7.6,10.7,101.6,0.0,0.0,0.0,
24600,7.6,10.7,101.6,0.0,0.0,0.0,
24700,3.6,7.6,97.7,0.0,0.0,0.0,
24700,3.6,7.6,97.7,0.0,0.0,0.0,
