Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
16901,1856.3,42.0,82.6,119.1,349.0,1817.0,14.0,
17001,1859.7,43.5,72.1,121.1,349.0,1817.0,14.0,
17101,1861.4,48.8,61.3,119.1,349.0,1817.0,14.0,
17201,1846.1,83.5,61.2,119.1,349.0,1817.0,14.0,
17301,1845.8,75.0,73.1,121.1,349.0,1817.0,14.0,
17401,1850.8,90.2,83.0,195.3,349.0,1817.0,14.0,
17501,1849.2,75.0,89.0,224.6,349.0,1817.0,14.0,
17601,1851.0,71.1,93.9,199.2,349.0,1817.0,14.0,
17801,1863.6,53.0,99.8,162.1,349.0,1817.0,14.0,
17901,1860.5,51.9,100.1,128.9,349.0,1817.0,14.0,
18001,1856.3,39.5,100.1,121.1,349.0,1817.0,14.0,
18101,1860.3,44.7,99.7,119.1,349.0,1817.0,14.0,
18201,1857.4,45.6,94.5,121.1,349.0,1817.0,14.0,
18301,1860.8,48.6,85.9,121.1,349.0,1817.0,14.0,
18401,1860.8,47.8,76.3,119.1,349.0,1817.0,14.0,
18501,1865.3,48.4,69.1,119.1,349.0,1817.0,14.0,
18601,1870.9,48.6,62.0,119.1,349.0,1817.0,14.0,
18801,1869.6,73.4,55.7,119.1,349.0,1817.0,14.0,
18901,1849.8,82.0,66.1,121.1,349.0,1817.0,14.0,
19001,1850.4,68.4,71.8,121.1,349.0,1817.0,14.0,
19101,1863.4,66.5,76.0,160.2,349.0,1817.0,14.0,
19201,1862.4,75.3,79.8,121.1,349.0,1817.0,14.0,
19301,1865.0,66.1,82.7,121.1,349.0,1817.0,14.0,
19401,1864.2,51.7,85.3,121.1,349.0,1817.0,14.0,
19501,1860.1,48.1,85.1,119.1,349.0,1817.0,14.0,
19601,1858.8,44.2,85.0,119.1,349.0,1817.0,14.0,
19801,1860.6,51.4,82.6,119.1,349.0,1817.0,14.0,
19901,1859.4,50.9,74.7,119.1,349.0,1817.0,14.0,
20001,1855.6,47.9,69.3,119.1,349.0,1817.0,14.0,
20101,1857.4,41.7,65.1,119.1,349.0,1817.0,14.0,
20201,1859.7,42.9,60.5,119.1,349.0,1817.0,14.0,
20301,1861.0,48.3,56.4,119.1,349.0,1817.0,14.0,
20401,1859.1,64.8,54.5,121.1,349.0,1817.0,14.0,
20501,1864.8,77.7,60.8,121.1,349.0,1817.0,14.0,
20601,1864.7,71.8,65.5,121.1,349.0,1817.0,14.0,
20801,1860.3,65.0,75.4,119.1,349.0,1817.0,14.0,
20901,1869.5,69.3,78.4,119.1,349.0,1817.0,14.0,
21001,1864.9,62.0,82.6,119.1,349.0,1817.0,14.0,
21101,1855.4,44.1,82.7,119.1,349.0,1817.0,14.0,
21201,1860.4,41.2,82.6,119.1,349.0,1817.0,14.0,
21301,1859.8,43.3,82.4,119.1,349.0,1817.0,14.0,
21401,1860.0,46.7,81.3,119.1,349.0,1817.0,14.0,
21501,1857.9,45.3,77.1,119.1,349.0,1817.0,14.0,
21601,1859.9,44.0,73.4,119.1,349.0,1817.0,14.0,
21801,1858.1,47.1,63.8,121.1,349.0,1817.0,14.0,
21901,1857.5,49.8,60.1,119.1,349.0,1817.0,14.0,
22001,1861.4,57.1,55.0,119.1,349.0,1817.0,14.0,
22101,1862.4,72.1,59.2,119.1,349.0,1817.0,14.0,
22201,1867.2,60.3,64.8,119.1,349.0,1817.0,14.0,
22301,1868.1,69.3,69.7,119.1,349.0,1817.0,14.0,
22401,1865.8,73.2,73.3,119.1,349.0,1817.0,14.0,
22501,1866.8,71.6,76.8,119.1,349.0,1817.0,14.0,
22601,1865.3,59.2,79.9,119.1,349.0,1817.0,14.0,
22801,1858.8,48.0,79.8,119.1,349.0,1817.0,14.0,
22901,1860.8,47.3,79.7,119.1,349.0,1817.0,14.0,
23001,1858.0,40.7,79.0,119.1,349.0,1817.0,14.0,
23101,1858.8,43.8,75.8,119.1,349.0,1817.0,14.0,
23201,1860.6,46.5,71.4,119.1,349.0,1817.0,14.0,
23301,1859.1,46.4,66.6,119.1,349.0,1817.0,14.0,
23401,1858.1,46.7,62.5,121.1,349.0,1817.0,14.0,
